Nombre,Categoría,Dirección,Población,Teléfono,Web
"MIM ANIMALS","Tienda de productos para mascotas","Rambla de les Bòbiles, 17, Local 1, 08760 Martorell, Barcelona","Martorell","937 75 24 01","http://mimanimals.com/"
"Hiperfauna Martorell","Tienda de productos para mascotas","Rambla d'En Pep Ventura, 18, Carrer d'En Pep Ventura, 18, 08760 Martorell, Barcelona","Martorell","937 75 42 20",""
"Mascotia Martorell","Tienda de animales","Av. Germans Martí, 20, 08760 Martorell, Barcelona","Martorell","618 49 62 24","https://mascotia.es/"
"Dogs","Tienda de animales","Carrer Esparreguera, 2, 08760 Martorell, Barcelona","Martorell","937 74 33 45","http://facebook.com/dogss.martorell"
"Patjades Martorell","Peluquero de mascotas","Carrer Esparreguera, 2, 08760 Martorell, Barcelona","Martorell","937 74 33 45","https://instagram.com/patjades"
"XipXap Perruqueria Canina","Peluquero de mascotas","Carrer d'En Pep Ventura, 18, Interior HIPERFAUNA, 08760 Martorell, Barcelona","Martorell","693 72 14 38",""
"Tiendanimal","Tienda de productos para mascotas","Torrent de les Piques, 73, 08304 Mataró, Barcelona","Mataró","936 11 94 80",""
"TerranovaCNC 137","Tienda de productos para mascotas","Plaça de les Tereses, 26, 08302 Mataró, Barcelona","Mataró","937 12 76 04","https://www.instagram.com/terranovacnc_137?igsh=MXRrdjU3enQ2MTRqMw%3D%3D&utm_source=qr"
"Ara Que Pinso💙🌱","Tienda de productos para mascotas","Carrer Sant Francesc d'Assís, 16, local, 08301 Mataró, Barcelona","Mataró","663 94 32 09","https://araquepinso.es/"
"SIC&CO Instint Natural Animal","Tienda de productos para mascotas","Carrer Deu de Gener, 9, 08302 Mataró, Barcelona","Mataró","933 08 69 34",""
"Petslovers Mataró","Tienda de productos para mascotas","Ronda dels Països Catalans, 50, 08304 Mataró, Barcelona","Mataró","697 63 68 16","http://www.petslovers.es/"
"Mascotas 1000 | Tienda de Animales en Mataró Carrer d'Argentona","Tienda de productos para mascotas","Carrer d'Argentona, 77, 08302 Mataró, Barcelona","Mataró","931 31 02 55","https://www.mascotas1000.com/"
"Mascotas 1000 | Tienda de Animales en Mataró Carrer Barcelona","Tienda de productos para mascotas","Carrer de Barcelona, 21, 08301 Mataró, Barcelona","Mataró","671 12 94 09","https://mascotas1000.com/"
"TerranovaCNC 11","Tienda de productos para mascotas","Via Europa, 85, 08303 Mataró, Barcelona","Mataró","937 58 96 13","https://www.terranovacnc.com/portfolio/tienda-productos-mascotas-mataro/"
"Pet's Cuore","Tienda de animales","Ronda O'Donnell, 72, 08302 Mataró, Barcelona","Mataró","937 57 49 58","https://www.facebook.com/PetsCuore"
"Moment Gosk","Tienda de productos para mascotas","Ronda Francesc Macià, 16, 08302 Mataró, Barcelona","Mataró","659 01 00 03","https://wa.beedigital.es/li/collares-gosk"
"Premiercan","Veterinario","Carrer Confraria de Sant Elm, 37, 08301 Mataró, Barcelona","Mataró","937 90 21 49","http://www.premiercan.com/"
"Nova's Pet Shop","Tienda de animales","Carrer d'Iluro, 51, 08302 Mataró, Barcelona","Mataró","675 85 79 48",""
"Can Gos","Tienda de productos para mascotas","Av. d'Amèrica, 10, 08304 Mataró, Barcelona","Mataró","937 90 31 02",""
"Platja dels Gossos","Parque para perros","Av. del Port, 95, 08302 Mataró, Barcelona","Mataró","",""
"Peluts de Mataró Perruqueria Canina y Felina","Peluquero de mascotas","Carrer d'Iluro, 104, 08302 Mataró, Barcelona","Mataró","645 77 45 26","https://peluts-de-mataro-perruqueria-canina-y-felina.business.site/?m=true"
"CLÍNICA VETERINÀRIA TERRA MASCOTES","Veterinario","Ronda Francesc Macià, 16, 08302 Mataró, Barcelona","Mataró","937 99 82 84","https://vets.wakyma.com/reservas/reservar-cita?veterinaryId=aMFi4qiYvQ"
"Hospital Veterinari Maresme | MiVet","Hospital veterinario","Camí de la Geganta, 113, 08302 Mataró, Barcelona","Mataró","937 99 41 02","https://mivet.com/hospital-veterinario-maresme-mataro/"
